obf_true,ai_name,confidence,apply,role,domain,opcode,rationale
NB,CombatMessageHandler,high,1,Handler,Combat,,refs=[CreateFighterInformationRequestMessage NetworkMessage UiEventBus UpdateFighterInventoryRequestMessage] strs=[teamManagement.selectedItemCardListType | availableFighterCards | error.teamManagemen
azL,CombatMessageHandler,high,1,Handler,Combat,,refs=[FighterActorDirectionChangeRequestMessage MoveToFreePlacementRequestMessage NetworkMessage TeamMateSetReadyForObservationRequestMessage] strs=[fight.timeline.currentFighter | fighterControlsDial
WE,CombatMessageHandler,high,1,Handler,Combat,,refs=[EndFightMessage FighterDiesMessage NetworkMessage] strs=[fight.standingWon | coachLevelUpDialog | Death]
DO,CombatMessageHandler,high,1,Handler,Combat,,refs=[FightCreationMessage NetworkMessage] strs=[enteringTimeChallenge | Fight est null dans le StartFightMessage ! | Erreur \u00e0 la cr\u00e9ation du combat (]
Qn,CombatMessageHandler,high,1,Handler,Combat,,refs=[FighterChangeDirectionMessage MoveToFreePlacementMessage NetworkMessage TeamMateSetReadyForObservationMessage] strs=[Le fighter | est inconnu ! | waitingForOpponents]
aNx,CombatMessageHandler,high,1,Handler,Combat,,refs=[FighterActorDirectionChangeRequestMessage FighterEndTurnRequestMessage NetworkMessage] strs=[fight.endTurnState | singleCardData | singleCardDialog]
afb,CombatMessageHandler,high,1,Handler,Combat,,refs=[NetworkMessage] strs=[sphereboard.selectedSphere | sphereboard.sphereSpell | sphereboard.selectedCard]
akS,CombatMessageHandler,high,1,Handler,Combat,,refs=[NetworkMessage] strs=[dofusarena.graveyard | graveyardDialog | coachManagement.selectedCard]
avu,CombatMessageHandler,high,1,Handler,Combat,,refs=[NetworkMessage] strs=[question.giveUpFight | fight.timeline.selectedFighter | fighterInformationsDialog]
S,CombatMessageHandler,high,1,Handler,Combat,,refs=[FighterActorMovementRequestMessage NetworkMessage] strs=[]
apN,ConnectionMessageHandler,high,1,Handler,Connection,,refs=[ClientAuthenticationMessage ClientVersionMessage DisconnectionNotificationMessage NetworkMessage] strs=[connectionRetryCount | connectionRetryDelay | Impossible de d\u00e9finit les param\u00e8tr
by,ConnectionMessageHandler,high,1,Handler,Connection,,refs=[NetworkMessage ResultMessage] strs=[logonDialog | account.remember | account.name]
NZ,ConnectionMessageHandler,high,1,Handler,Connection,,refs=[LoginMessage NetworkMessage ReconnectionTicketMessage_1 ReconnectionTicketRequestMessage] strs=[User auth : l= | seb | pass]
aLz,ConnectionMessageHandler,high,1,Handler,Connection,,refs=[InvalidClientVersionMessage NetworkMessage ReconnectionTicketMessage ReconnectionTicketRequestResultMessage] strs=[Reco impossible | Type de message inconnu]
Yy,ConnectionMessageHandler,high,1,Handler,Connection,,refs=[NetworkMessage] strs=[logon.progress | gameNotTranslated | replayMode]
Vr,ExchangeMessage16801,high,1,Message,Exchange,16801,refs=[UiEventBus] strs=[Erreur lors d'un checkOut sur un message de type UIExchangeInvitationAcceptRequestMessage :]
aMQ,ExchangeMessageHandler,high,1,Handler,Exchange,,refs=[ItemExchangeAddCardMessage ItemExchangeCardAddedMessage ItemExchangeEndMessage ItemExchangeSetReadyMessage] strs=[coachManagement.currentSet | error.exchange.linkedCard | error.exchange.tooMuchC
CP,ExchangeMessageHandler,high,1,Handler,Exchange,,refs=[NetworkMessage] strs=[fusionTrade | fusionSuccess | fusionRecipeFailed]
PG,ExchangeMessageHandler,high,1,Handler,Exchange,,refs=[ItemExchangeCardRemovedMessage ItemExchangeUserReadyMessage NetworkMessage] strs=[error.exchange.uniqueCardAlreadyExists | error.exchange.linkedCard]
lg,ExchangeMessageHandler,high,1,Handler,Exchange,,refs=[ItemExchangeInvitationAnswerMessage ItemExchangeInvitationMessage NetworkMessage] strs=[menuBar.tutorialButton]
Kv,ExchangeMessageHandler,high,1,Handler,Exchange,,refs=[NetworkMessage] strs=[cardMasterTrade | cannotOpenUIWhenSearchingFight | cardmaster.exchange.successfull]
aBv,ExchangeMessageHandler,high,1,Handler,Exchange,,refs=[ItemExchangeInvitationAnswerMessage NetworkMessage] strs=[]
LH,GuildMessageHandler,high,1,Handler,Guild,,refs=[NetworkMessage] strs=[guildCanAffiliate | guild | guild.creationSuccessfull]
aef,GuildMessageHandler,high,1,Handler,Guild,,refs=[NetworkMessage] strs=[guildDialog | guildCreationDialog | guild.error.alreadyGuildMember]
zN,GuildMessageHandler,high,1,Handler,Guild,,refs=[NetworkMessage] strs=[achievementUnlocked | infos.newMails | infos.guildCreated]
au,GuildMessageHandler,high,1,Handler,Guild,,refs=[NetworkMessage] strs=[guild | guildCanAffiliate | ladderInformation.demon]
aFl,LadderMessageHandler,high,1,Handler,Ladder,,refs=[NetworkMessage] strs=[ladderManager | ladderPlayerSearchButtonVisible | list1vs1]
aHg,LadderMessageHandler,high,1,Handler,Ladder,,refs=[NetworkMessage] strs=[ladderInformationDialog | demonAffiliationDialog]
agq,MatchmakingMessageHandler,high,1,Handler,Matchmaking,,refs=[NetworkMessage OpponentSearchCancelMessage OpponentSearchRequestMessage UiEventBus] strs=[dofusarena.randomFightSearch | randomFightCreationDialog | randomFightSearchStatusDialog]
Vu,MatchmakingMessageHandler,high,1,Handler,Matchmaking,,refs=[NetworkMessage] strs=[Changement de statut \u00e0 non pr\u00eat | accept\u00e9 | rejet\u00e9]
wp,MatchmakingMessageHandler,high,1,Handler,Matchmaking,,refs=[NetworkMessage] strs=[Changement de statut \u00e0 non pr\u00eat | accept\u00e9 | rejet\u00e9]
fT,MatchmakingMessageHandler,high,1,Handler,Matchmaking,,refs=[NetworkMessage] strs=[xvsxFightInvitation.confirmation | error.fight.creation.canceledByOpponent | opponentSearchConfirmation.request]
jR,MatchmakingMessageHandler,high,1,Handler,Matchmaking,,refs=[NetworkMessage TeamMateSetReadyForPlacementMessage] strs=[waitingForOpponents | Error :]
vV,MatchmakingMessageHandler,high,1,Handler,Matchmaking,,refs=[NetworkMessage TeamMateSetReadyForActionMessage] strs=[waitingForOpponents | Error :]
wg,MatchmakingMessageHandler,high,1,Handler,Matchmaking,,refs=[NetworkMessage] strs=[error.fight.creation.canceledByOpponent | fight.id | fight.budget]
azS,PartyMessage16802,high,1,Message,Party,16802,refs=[UiEventBus] strs=[Erreur lors d'un checkOut sur un message de type UIRejectFightInvitationRequestMessage :]
uG,PartyMessageHandler,high,1,Handler,Party,,refs=[ItemExchangeInvitationConfirmationMessage ItemExchangeInvitationMessage NetworkMessage] strs=[exchange.invitation.canceled | teamManagement.createXvsXInvitation | teamManagement.cancelXvsXTeamCr
yq,PartyMessageHandler,high,1,Handler,Party,,refs=[NetworkMessage] strs=[enterSpectatorMode | fightInvitation.training | exchange.invitation]
aop,PropertyMessageHandler,high,1,Handler,Property,,refs=[NetworkMessage PropertyItemMessage PropertyQueryMessage] strs=[Exception lev\u00e9e lors de l'appel \u00e0 la commande d'admin : | Exception | AdminFrame.sendMonitoredProoperty(stringIndex=]
DX,TeamMessageHandler,high,1,Handler,Team,,refs=[CreationFighterInformationMessage DeletionFighterInformationMessage DeletionTeamPresetMessage FighterInformationListMessage] strs=[fighterCreationDialog | fighterEquipmentDialog | teamManagement
Ce,TeamMessageHandler,high,1,Handler,Team,,refs=[CreationFighterInformationMessage DeletionFighterInformationMessage FighterInformationListMessage NetworkMessage] strs=[loading | evolutionDialog | evolutionTeamManagementTuto2Dialog]
hU,TeamMessageHandler,high,1,Handler,Team,,refs=[CreateFighterInformationRequestMessage NetworkMessage SaveTeamPresetRequestMessage UiEventBus] strs=[defaultFightProfile | teamManagement.editableTeamPreset | error.teamManagement.noTeamSelected
adi,TeamMessageHandler,high,1,Handler,Team,,refs=[FighterInformationListMessage NetworkMessage TeamPresetListMessage TeamPresetListRequestMessage] strs=[loading | graveyardDialog]
asA,TeamMessageHandler,high,1,Handler,Team,,refs=[NetworkMessage] strs=[tooltipDialog | tooltip.content | tooltipTutoDialog]
aOW,TeamMessageHandler,high,1,Handler,Team,,refs=[CreateFighterInformationRequestMessage DeleteFighterInformationRequestMessage OutputOnlyProxyMessage] strs=[teamLoadDialog | fileLoaded]
adD,TeamMessageHandler,high,1,Handler,Team,,refs=[NetworkMessage] strs=[Impossible de sauvegerde les statistiques de coach si aucun coach local n'est d\u00e9fini ! | teamManagement.teamPreset1vs1List | teamManagement.teamPreset2vs2List]
asE,TournamentMessage20072,high,1,Message,Tournament,20072,refs=[UiEventBus] strs=[Erreur lors d'un checkOut sur un message de type UITournamentCreationRequestMessage :]
oz,TournamentMessageHandler,high,1,Handler,Tournament,,refs=[NetworkMessage UiEventBus] strs=[selectedTournamentEvent | totemTournamentDialog | dofusarena.tournaments]
Ds,TournamentMessageHandler,high,1,Handler,Tournament,,refs=[NetworkMessage] strs=[Changement de statut \u00e0 non pr\u00eat | accept\u00e9 | rejet\u00e9]
agz,TournamentMessageHandler,high,1,Handler,Tournament,,refs=[NetworkMessage] strs=[infosDialog | dofusarena.infos | goCheckYourMailbox]
ajp,TournamentMessageHandler,high,1,Handler,Tournament,,"refs=[NetworkMessage] strs=[Les informations du tournoi d'id | n'existent pas ! | Liste des tournois, Id - \""Name\"" : \n\n]"
rX,AdminMessage20,medium,1,Message,,20,refs=[AdminMessageBase] strs=[]
aFC,C2SMessage101,medium,1,Message,,101,refs=[OutputOnlyProxyMessage] strs=[]
asG,C2SMessage107,medium,1,Message,,107,refs=[OutputOnlyProxyMessage] strs=[]
aJs,C2SMessage15000,medium,1,Message,,15000,refs=[OutputOnlyProxyMessage] strs=[]
aDs,C2SMessage15004,medium,1,Message,,15004,refs=[OutputOnlyProxyMessage] strs=[]
aKk,C2SMessage15006,medium,1,Message,,15006,refs=[OutputOnlyProxyMessage] strs=[]
RR,C2SMessage15506,medium,1,Message,,15506,refs=[OutputOnlyProxyMessage] strs=[]
yQ,C2SMessage17002,medium,1,Message,,17002,refs=[OutputOnlyProxyMessage] strs=[]
fu,C2SMessage17004,medium,1,Message,,17004,refs=[OutputOnlyProxyMessage] strs=[]
aGh,C2SMessage17006,medium,1,Message,,17006,refs=[OutputOnlyProxyMessage] strs=[]
aFu,C2SMessage17010,medium,1,Message,,17010,refs=[OutputOnlyProxyMessage] strs=[]
bD,C2SMessage201,medium,1,Message,,201,refs=[OutputOnlyProxyMessage] strs=[]
aNp,C2SMessage22001,medium,1,Message,,22001,refs=[OutputOnlyProxyMessage] strs=[]
nq,C2SMessage22003,medium,1,Message,,22003,refs=[OutputOnlyProxyMessage] strs=[]
axH,C2SMessage22004,medium,1,Message,,22004,refs=[OutputOnlyProxyMessage] strs=[]
Tx,C2SMessage22093,medium,1,Message,,22093,refs=[OutputOnlyProxyMessage] strs=[]
axF,C2SMessage22095,medium,1,Message,,22095,refs=[OutputOnlyProxyMessage] strs=[]
OB,C2SMessage22097,medium,1,Message,,22097,refs=[OutputOnlyProxyMessage] strs=[]
bw,C2SMessage22099,medium,1,Message,,22099,refs=[OutputOnlyProxyMessage] strs=[]
pY,C2SMessage2260,medium,1,Message,,2260,refs=[OutputOnlyProxyMessage] strs=[]
Jc,C2SMessage23000,medium,1,Message,,23000,refs=[OutputOnlyProxyMessage] strs=[]
aBN,C2SMessage23001,medium,1,Message,,23001,refs=[OutputOnlyProxyMessage] strs=[]
ajW,C2SMessage23003,medium,1,Message,,23003,refs=[OutputOnlyProxyMessage] strs=[]
aow,C2SMessage23009,medium,1,Message,,23009,refs=[OutputOnlyProxyMessage] strs=[]
Pg,C2SMessage2308,medium,1,Message,,2308,refs=[OutputOnlyProxyMessage] strs=[]
Bm,C2SMessage23101,medium,1,Message,,23101,refs=[OutputOnlyProxyMessage] strs=[]
atj,C2SMessage23103,medium,1,Message,,23103,refs=[OutputOnlyProxyMessage] strs=[]
acz,C2SMessage23114,medium,1,Message,,23114,refs=[OutputOnlyProxyMessage] strs=[]
aeX,C2SMessage23116,medium,1,Message,,23116,refs=[OutputOnlyProxyMessage] strs=[]
mL,C2SMessage2600,medium,1,Message,,2600,refs=[OutputOnlyProxyMessage] strs=[]
Hk,C2SMessage26301,medium,1,Message,,26301,refs=[OutputOnlyProxyMessage] strs=[]
Bl,C2SMessage26303,medium,1,Message,,26303,refs=[OutputOnlyProxyMessage] strs=[]
vT,C2SMessage26305,medium,1,Message,,26305,refs=[OutputOnlyProxyMessage] strs=[]
mZ,C2SMessage26307,medium,1,Message,,26307,refs=[OutputOnlyProxyMessage] strs=[]
aJu,C2SMessage26313,medium,1,Message,,26313,refs=[OutputOnlyProxyMessage] strs=[]
nV,C2SMessage26321,medium,1,Message,,26321,refs=[OutputOnlyProxyMessage] strs=[]
alV,C2SMessage26330,medium,1,Message,,26330,refs=[OutputOnlyProxyMessage] strs=[]
X,C2SMessage26331,medium,1,Message,,26331,refs=[OutputOnlyProxyMessage] strs=[]
aIw,C2SMessage26334,medium,1,Message,,26334,refs=[OutputOnlyProxyMessage] strs=[]
DP,C2SMessage27500,medium,1,Message,,27500,refs=[OutputOnlyProxyMessage] strs=[]
pC,C2SMessage27502,medium,1,Message,,27502,refs=[OutputOnlyProxyMessage] strs=[]
Vg,C2SMessage27504,medium,1,Message,,27504,refs=[OutputOnlyProxyMessage] strs=[]
qK,C2SMessage27506,medium,1,Message,,27506,refs=[OutputOnlyProxyMessage] strs=[]
aA,C2SMessage27508,medium,1,Message,,27508,refs=[OutputOnlyProxyMessage] strs=[]
aid,C2SMessage27510,medium,1,Message,,27510,refs=[OutputOnlyProxyMessage] strs=[]
ow,C2SMessage27512,medium,1,Message,,27512,refs=[OutputOnlyProxyMessage] strs=[]
Ck,C2SMessage27514,medium,1,Message,,27514,refs=[OutputOnlyProxyMessage] strs=[]
ZZ,C2SMessage27525,medium,1,Message,,27525,refs=[OutputOnlyProxyMessage] strs=[1_AnimStatique | Arme | png]
Gc,C2SMessage27527,medium,1,Message,,27527,refs=[OutputOnlyProxyMessage] strs=[]
bl,C2SMessage27529,medium,1,Message,,27529,refs=[OutputOnlyProxyMessage] strs=[]
aIb,C2SMessage27551,medium,1,Message,,27551,refs=[OutputOnlyProxyMessage] strs=[]
wa,C2SMessage28601,medium,1,Message,,28601,refs=[OutputOnlyProxyMessage] strs=[]
ayQ,C2SMessage28603,medium,1,Message,,28603,refs=[OutputOnlyProxyMessage] strs=[UTF-8]
BI,C2SMessage28605,medium,1,Message,,28605,refs=[OutputOnlyProxyMessage] strs=[]
aGO,C2SMessage28607,medium,1,Message,,28607,refs=[OutputOnlyProxyMessage] strs=[]
Bt,C2SMessage28609,medium,1,Message,,28609,refs=[OutputOnlyProxyMessage] strs=[]
ly,C2SMessage28611,medium,1,Message,,28611,refs=[OutputOnlyProxyMessage] strs=[]
aFG,C2SMessage28617,medium,1,Message,,28617,refs=[OutputOnlyProxyMessage] strs=[]
kx,C2SMessage28633,medium,1,Message,,28633,refs=[OutputOnlyProxyMessage] strs=[]
aeC,C2SMessage28635,medium,1,Message,,28635,refs=[OutputOnlyProxyMessage] strs=[]
alF,C2SMessage28649,medium,1,Message,,28649,refs=[OutputOnlyProxyMessage] strs=[UTF-8]
aFQ,C2SMessage3159,medium,1,Message,,3159,refs=[OutputOnlyProxyMessage] strs=[]
aux,C2SMessage3161,medium,1,Message,,3161,refs=[OutputOnlyProxyMessage] strs=[]
ak,C2SMessage3199,medium,1,Message,,3199,refs=[OutputOnlyProxyMessage] strs=[]
Gs,C2SMessage4512,medium,1,Message,,4512,refs=[OutputOnlyProxyMessage] strs=[]
aII,C2SMessage4514,medium,1,Message,,4514,refs=[OutputOnlyProxyMessage] strs=[]
aae,C2SMessage4517,medium,1,Message,,4517,refs=[OutputOnlyProxyMessage] strs=[]
Ab,C2SMessage4518,medium,1,Message,,4518,refs=[OutputOnlyProxyMessage] strs=[]
aOx,C2SMessage4519,medium,1,Message,,4519,refs=[OutputOnlyProxyMessage] strs=[]
aNV,C2SMessage4523,medium,1,Message,,4523,refs=[OutputOnlyProxyMessage] strs=[]
aiK,C2SMessage4607,medium,1,Message,,4607,refs=[OutputOnlyProxyMessage] strs=[]
JY,C2SMessage4701,medium,1,Message,,4701,refs=[OutputOnlyProxyMessage] strs=[UTF-8]
uq,C2SMessage501,medium,1,Message,,501,refs=[OutputOnlyProxyMessage] strs=[]
cG,C2SMessage503,medium,1,Message,,503,refs=[OutputOnlyProxyMessage] strs=[]
nP,C2SMessage505,medium,1,Message,,505,refs=[OutputOnlyProxyMessage] strs=[]
atM,C2SMessage509,medium,1,Message,,509,refs=[OutputOnlyProxyMessage] strs=[]
awR,C2SMessage511,medium,1,Message,,511,refs=[OutputOnlyProxyMessage] strs=[]
wt,C2SMessage513,medium,1,Message,,513,refs=[OutputOnlyProxyMessage] strs=[]
SH,C2SMessage515,medium,1,Message,,515,refs=[OutputOnlyProxyMessage] strs=[]
auZ,C2SMessage517,medium,1,Message,,517,refs=[OutputOnlyProxyMessage] strs=[]
aDD,C2SMessage519,medium,1,Message,,519,refs=[OutputOnlyProxyMessage] strs=[]
ajm,C2SMessage5204,medium,1,Message,,5204,refs=[OutputOnlyProxyMessage] strs=[]
yg,C2SMessage5300,medium,1,Message,,5300,refs=[OutputOnlyProxyMessage] strs=[]
F,C2SMessage539,medium,1,Message,,539,refs=[OutputOnlyProxyMessage] strs=[]
aOo,C2SMessage5400,medium,1,Message,,5400,refs=[OutputOnlyProxyMessage] strs=[]
Mo,C2SMessage5450,medium,1,Message,,5450,refs=[OutputOnlyProxyMessage] strs=[]
Zu,C2SMessage5470,medium,1,Message,,5470,refs=[OutputOnlyProxyMessage] strs=[]
aHG,C2SMessage5490,medium,1,Message,,5490,refs=[OutputOnlyProxyMessage] strs=[]
MX,C2SMessage551,medium,1,Message,,551,refs=[OutputOnlyProxyMessage] strs=[]
aBO,C2SMessage553,medium,1,Message,,553,refs=[OutputOnlyProxyMessage] strs=[]
Nr,C2SMessage555,medium,1,Message,,555,refs=[OutputOnlyProxyMessage] strs=[]
Ko,C2SMessage557,medium,1,Message,,557,refs=[OutputOnlyProxyMessage] strs=[]
Qp,C2SMessage6013,medium,1,Message,,6013,refs=[OutputOnlyProxyMessage] strs=[]
ir,C2SMessage6024,medium,1,Message,,6024,refs=[OutputOnlyProxyMessage] strs=[]
abB,C2SMessage6026,medium,1,Message,,6026,refs=[OutputOnlyProxyMessage] strs=[]
PU,ProxyMessage0,medium,1,Message,,0,refs=[] strs=[true | false]
Zo,ProxyMessage0,medium,1,Message,,0,refs=[] strs=[true | false]
Fp,ProxyMessage1,medium,1,Message,,1,refs=[NetworkMessage] strs=[]
ajV,ProxyMessage1,medium,1,Message,,1,refs=[] strs=[Erreur lors d'un checkOut sur un message de type StatisticsReportRequestMessage :]
aJZ,ProxyMessage101,medium,1,Message,,101,refs=[] strs=[]
aML,ProxyMessage102,medium,1,Message,,102,refs=[] strs=[]
auQ,ProxyMessage1024,medium,1,Message,,1024,refs=[NetworkMessage] strs=[]
dm,ProxyMessage103,medium,1,Message,,103,refs=[] strs=[]
yt,ProxyMessage16384,medium,1,Message,,16384,refs=[UiEventBus] strs=[]
apm,ProxyMessage16400,medium,1,Message,,16400,refs=[UiEventBus] strs=[]
PV,ProxyMessage16600,medium,1,Message,,16600,refs=[UiEventBus] strs=[]
Db,ProxyMessage16604,medium,1,Message,,16604,refs=[UiEventBus] strs=[]
KD,ProxyMessage16617,medium,1,Message,,16617,refs=[UiEventBus] strs=[]
eV,ProxyMessage16636,medium,1,Message,,16636,refs=[UiEventBus] strs=[]
CX,ProxyMessage19000,medium,1,Message,,19000,refs=[UiEventBus] strs=[]
asg,ProxyMessage19001,medium,1,Message,,19001,refs=[UiEventBus] strs=[]
aqE,ProxyMessage21010,medium,1,Message,,21010,refs=[UiEventBus] strs=[]
fz,ProxyMessage21070,medium,1,Message,,21070,refs=[UiEventBus] strs=[]
ahn,ProxyMessage23051,medium,1,Message,,23051,refs=[UiEventBus] strs=[]
aMo,ProxyMessage23101,medium,1,Message,,23101,refs=[UiEventBus] strs=[]
zI,ProxyMessage23111,medium,1,Message,,23111,refs=[UiEventBus] strs=[]
Co,ProxyMessage24000,medium,1,Message,,24000,refs=[UiEventBus] strs=[]
ado,ProxyMessage30000,medium,1,Message,,30000,refs=[UiEventBus] strs=[Erreur lors d'un checkOut sur un message de type UIWorldSceneMouseReleasedMessage :]
aBu,ProxyMessage30001,medium,1,Message,,30001,refs=[UiEventBus] strs=[Erreur lors d'un checkOut sur un message de type UIWorldSceneMouseMovedMessage :]
acl,ProxyMessage30002,medium,1,Message,,30002,refs=[] strs=[Erreur lors d'un checkOut sur un message de type UIWorldSceneMouseMovedExtendedMessage :]
axZ,ProxyMessage5301,medium,1,Message,,5301,refs=[ClientProxyMessage] strs=[]
HG,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage UiEventBus] strs=[fightMenuBarDialog | dofusarena.replay | replayMode]
lr,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage UiEventBus] strs=[apf | customFightProfileLoadingDialog | customFightProfileSavingDialog]
PL,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage] strs=[TLS | ws.ankama.lan | --bloubloubloublou\r\n]
aOG,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage] strs=[ReportBug.validForm | UIReportBugFrame : onMessage - Erreur Connexion URL : | bugReportURL]
ayf,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage] strs=[mailbox.newMail | newMailDialog | error.mail.mailboxFull]
fK,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage TeamMateSetReadyForActionRequestMessage] strs=[fightObservationDialog | fight.status | observation]
Mq,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage] strs=[error.mail.mailboxFull | newMailDialog | mailbox.newMail]
AO,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage UiEventBus] strs=[npcTalkDialog | dofusarena.npcTalk | selectedTalkOption]
aBB,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage] strs=[menuDialog | fightMenuDialog | reportBugDialog]
Bo,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage TeamMateSetReadyForPlacementRequestMessage] strs=[singleCardData | fightPresentationDialog]
CJ,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage UiEventBus] strs=[selectedChallenge | challengeDialog]
fc,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage] strs=[fightMenuBarDialog | fightMenuDialog | menuDialog]
ae,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage] strs=[highlightLayer | SansSerif]
ju,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage] strs=[mapDialog | miniMap]
PE,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage] strs=[]
aLV,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage] strs=[]
jl,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage] strs=[]
vl,ProxyMessageHandler,medium,1,Handler,,,refs=[NetworkMessage] strs=[]
es,S2CMessage100,medium,1,Message,,100,refs=[InputOnlyProxyMessage] strs=[]
Ja,S2CMessage102,medium,1,Message,,102,refs=[InputOnlyProxyMessage] strs=[]
qR,S2CMessage103,medium,1,Message,,103,refs=[InputOnlyProxyMessage] strs=[]
Ve,S2CMessage105,medium,1,Message,,105,refs=[InputOnlyProxyMessage] strs=[]
aBJ,S2CMessage108,medium,1,Message,,108,refs=[InputOnlyProxyMessage] strs=[]
ayV,S2CMessage15001,medium,1,Message,,15001,refs=[InputOnlyProxyMessage] strs=[]
Eh,S2CMessage15003,medium,1,Message,,15003,refs=[InputOnlyProxyMessage] strs=[]
WT,S2CMessage15005,medium,1,Message,,15005,refs=[InputOnlyProxyMessage] strs=[]
cb,S2CMessage15007,medium,1,Message,,15007,refs=[InputOnlyProxyMessage] strs=[]
aFJ,S2CMessage15507,medium,1,Message,,15507,refs=[InputOnlyProxyMessage] strs=[]
awa,S2CMessage17003,medium,1,Message,,17003,refs=[InputOnlyProxyMessage] strs=[]
aEf,S2CMessage17005,medium,1,Message,,17005,refs=[InputOnlyProxyMessage] strs=[]
rZ,S2CMessage200,medium,1,Message,,200,refs=[InputOnlyProxyMessage] strs=[]
TT,S2CMessage202,medium,1,Message,,202,refs=[InputOnlyProxyMessage] strs=[]
Il,S2CMessage204,medium,1,Message,,204,refs=[InputOnlyProxyMessage] strs=[]
